Id,Label,SOC_Major,SOC_Group
29-1151.00,Nurse Anesthetists,29,Healthcare Practitioners
29-1161.00,Nurse Midwives,29,Healthcare Practitioners
29-1171.00,Nurse Practitioners,29,Healthcare Practitioners
29-1181.00,Audiologists,29,Healthcare Practitioners
29-1211.00,Anesthesiologists,29,Healthcare Practitioners
29-1213.00,Dermatologists,29,Healthcare Practitioners
29-1214.00,Emergency Medicine Physicians,29,Healthcare Practitioners
29-1215.00,Family Medicine Physicians,29,Healthcare Practitioners
29-1216.00,General Internal Medicine Physicians,29,Healthcare Practitioners
29-1217.00,Neurologists,29,Healthcare Practitioners
29-1218.00,Obstetricians and Gynecologists,29,Healthcare Practitioners
29-1221.00,"Pediatricians, General",29,Healthcare Practitioners
29-1222.00,"Physicians, Pathologists",29,Healthcare Practitioners
29-1223.00,Psychiatrists,29,Healthcare Practitioners
29-1224.00,Radiologists,29,Healthcare Practitioners
29-1229.01,Allergists and Immunologists,29,Healthcare Practitioners
29-1229.02,Hospitalists,29,Healthcare Practitioners
29-1229.03,Urologists,29,Healthcare Practitioners
29-1229.04,Physical Medicine and Rehabilitation Physicians,29,Healthcare Practitioners
29-1229.05,Preventive Medicine Physicians,29,Healthcare Practitioners
29-1229.06,Sports Medicine Physicians,29,Healthcare Practitioners
29-1241.00,"Ophthalmologists, Except Pediatric",29,Healthcare Practitioners
29-1291.00,Acupuncturists,29,Healthcare Practitioners
29-1299.01,Naturopathic Physicians,29,Healthcare Practitioners
29-1299.02,Orthoptists,29,Healthcare Practitioners
29-2011.01,Cytogenetic Technologists,29,Healthcare Practitioners
29-2011.04,Histotechnologists,29,Healthcare Practitioners
29-2031.00,Cardiovascular Technologists and Technicians,29,Healthcare Practitioners
29-2033.00,Nuclear Medicine Technologists,29,Healthcare Practitioners
29-2036.00,Medical Dosimetrists,29,Healthcare Practitioners
29-2051.00,Dietetic Technicians,29,Healthcare Practitioners
29-2052.00,Pharmacy Technicians,29,Healthcare Practitioners
29-2053.00,Psychiatric Technicians,29,Healthcare Practitioners
29-2056.00,Veterinary Technologists and Technicians,29,Healthcare Practitioners
29-2061.00,Licensed Practical and Licensed Vocational Nurses,29,Healthcare Practitioners
29-2099.05,Ophthalmic Medical Technologists,29,Healthcare Practitioners
29-2099.08,Patient Representatives,29,Healthcare Practitioners
29-9091.00,Athletic Trainers,29,Healthcare Practitioners
29-9092.00,Genetic Counselors,29,Healthcare Practitioners
29-9099.01,Midwives,29,Healthcare Practitioners
31-1121.00,Home Health Aides,31,Healthcare Support
31-1122.00,Personal Care Aides,31,Healthcare Support
31-1131.00,Nursing Assistants,31,Healthcare Support
31-1132.00,Orderlies,31,Healthcare Support
31-1133.00,Psychiatric Aides,31,Healthcare Support
31-2011.00,Occupational Therapy Assistants,31,Healthcare Support
31-2012.00,Occupational Therapy Aides,31,Healthcare Support
31-2021.00,Physical Therapist Assistants,31,Healthcare Support
31-2022.00,Physical Therapist Aides,31,Healthcare Support
31-9011.00,Massage Therapists,31,Healthcare Support
31-9091.00,Dental Assistants,31,Healthcare Support
31-9092.00,Medical Assistants,31,Healthcare Support
31-9094.00,Medical Transcriptionists,31,Healthcare Support
31-9095.00,Pharmacy Aides,31,Healthcare Support
31-9097.00,Phlebotomists,31,Healthcare Support
31-9099.01,Speech-Language Pathology Assistants,31,Healthcare Support
33-1011.00,First-Line Supervisors of Correctional Officers,33,Protective Service
33-1012.00,First-Line Supervisors of Police and Detectives,33,Protective Service
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,33,Protective Service
33-1091.00,First-Line Supervisors of Security Workers,33,Protective Service
33-2021.00,Fire Inspectors and Investigators,33,Protective Service
33-2022.00,Forest Fire Inspectors and Prevention Specialists,33,Protective Service
33-3011.00,Bailiffs,33,Protective Service
33-3012.00,Correctional Officers and Jailers,33,Protective Service
33-3021.00,Detectives and Criminal Investigators,33,Protective Service
33-3021.02,Police Identification and Records Officers,33,Protective Service
33-3021.06,Intelligence Analysts,33,Protective Service
33-3051.00,Police and Sheriff's Patrol Officers,33,Protective Service
33-3051.04,Customs and Border Protection Officers,33,Protective Service
33-3052.00,Transit and Railroad Police,33,Protective Service
33-9011.00,Animal Control Workers,33,Protective Service
33-9021.00,Private Detectives and Investigators,33,Protective Service
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,33,Protective Service
33-9032.00,Security Guards,33,Protective Service
33-9091.00,Crossing Guards and Flaggers,33,Protective Service
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33,Protective Service
33-9099.02,Retail Loss Prevention Specialists,33,Protective Service
35-1011.00,Chefs and Head Cooks,35,Food Preparation
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35,Food Preparation
35-2011.00,"Cooks, Fast Food",35,Food Preparation
35-2015.00,"Cooks, Short Order",35,Food Preparation
35-2021.00,Food Preparation Workers,35,Food Preparation
35-3011.00,Bartenders,35,Food Preparation
35-3023.00,Fast Food and Counter Workers,35,Food Preparation
35-3031.00,Waiters and Waitresses,35,Food Preparation
35-3041.00,"Food Servers, Nonrestaurant",35,Food Preparation
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,35,Food Preparation
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35,Food Preparation
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37,Building & Grounds
37-2012.00,Maids and Housekeeping Cleaners,37,Building & Grounds
39-1013.00,First-Line Supervisors of Gambling Services Workers,39,Personal Care
39-1022.00,First-Line Supervisors of Personal Service Workers,39,Personal Care
39-2011.00,Animal Trainers,39,Personal Care
39-3011.00,Gambling Dealers,39,Personal Care
39-3012.00,Gambling and Sports Book Writers and Runners,39,Personal Care
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39,Personal Care
39-3092.00,Costume Attendants,39,Personal Care
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",39,Personal Care
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",39,Personal Care
39-5092.00,Manicurists and Pedicurists,39,Personal Care
39-5093.00,Shampooers,39,Personal Care
39-5094.00,Skincare Specialists,39,Personal Care
39-6012.00,Concierges,39,Personal Care
39-7011.00,Tour Guides and Escorts,39,Personal Care
39-7012.00,Travel Guides,39,Personal Care
39-9011.00,Childcare Workers,39,Personal Care
39-9011.01,Nannies,39,Personal Care
39-9032.00,Recreation Workers,39,Personal Care
39-9041.00,Residential Advisors,39,Personal Care
41-1011.00,First-Line Supervisors of Retail Sales Workers,41,Sales
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41,Sales
41-2011.00,Cashiers,41,Sales
41-2021.00,Counter and Rental Clerks,41,Sales
41-2031.00,Retail Salespersons,41,Sales
41-3011.00,Advertising Sales Agents,41,Sales
41-3021.00,Insurance Sales Agents,41,Sales
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41,Sales
41-3041.00,Travel Agents,41,Sales
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41,Sales
41-4011.07,Solar Sales Representatives and Assessors,41,Sales
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41,Sales
41-9011.00,Demonstrators and Product Promoters,41,Sales
41-9021.00,Real Estate Brokers,41,Sales
41-9022.00,Real Estate Sales Agents,41,Sales
41-9031.00,Sales Engineers,41,Sales
41-9041.00,Telemarketers,41,Sales
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41,Sales
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,43,Office & Admin Support
43-2011.00,"Switchboard Operators, Including Answering Service",43,Office & Admin Support
43-2021.00,Telephone Operators,43,Office & Admin Support
43-3011.00,Bill and Account Collectors,43,Office & Admin Support
43-3021.00,Billing and Posting Clerks,43,Office & Admin Support
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",43,Office & Admin Support
43-3041.00,Gambling Cage Workers,43,Office & Admin Support
43-3051.00,Payroll and Timekeeping Clerks,43,Office & Admin Support
43-3061.00,Procurement Clerks,43,Office & Admin Support
43-3071.00,Tellers,43,Office & Admin Support
43-4011.00,Brokerage Clerks,43,Office & Admin Support
43-4021.00,Correspondence Clerks,43,Office & Admin Support
43-4031.00,"Court, Municipal, and License Clerks",43,Office & Admin Support
43-4041.00,"Credit Authorizers, Checkers, and Clerks",43,Office & Admin Support
43-4051.00,Customer Service Representatives,43,Office & Admin Support
43-4061.00,"Eligibility Interviewers, Government Programs",43,Office & Admin Support
43-4071.00,File Clerks,43,Office & Admin Support
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",43,Office & Admin Support
43-4111.00,"Interviewers, Except Eligibility and Loan",43,Office & Admin Support
43-4121.00,"Library Assistants, Clerical",43,Office & Admin Support
43-4131.00,Loan Interviewers and Clerks,43,Office & Admin Support
43-4141.00,New Accounts Clerks,43,Office & Admin Support
43-4151.00,Order Clerks,43,Office & Admin Support
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",43,Office & Admin Support
43-4171.00,Receptionists and Information Clerks,43,Office & Admin Support
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,43,Office & Admin Support
43-5011.01,Freight Forwarders,43,Office & Admin Support
43-5021.00,Couriers and Messengers,43,Office & Admin Support
43-5031.00,Public Safety Telecommunicators,43,Office & Admin Support
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",43,Office & Admin Support
43-5051.00,Postal Service Clerks,43,Office & Admin Support
43-5071.00,"Shipping, Receiving, and Inventory Clerks",43,Office & Admin Support
43-6011.00,Executive Secretaries and Executive Administrative Assistants,43,Office & Admin Support
43-6012.00,Legal Secretaries and Administrative Assistants,43,Office & Admin Support
43-6013.00,Medical Secretaries and Administrative Assistants,43,Office & Admin Support
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43,Office & Admin Support
43-9041.00,Insurance Claims and Policy Processing Clerks,43,Office & Admin Support
43-9061.00,"Office Clerks, General",43,Office & Admin Support
43-9111.00,Statistical Assistants,43,Office & Admin Support
45-4022.00,Logging Equipment Operators,45,"Farming, Fishing & Forestry"
