Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19,"Life, Physical & Social Science",5,11,0.24513,0.293439,0.009374,12
19-2099.01,Remote Sensing Scientists and Technologists,19,"Life, Physical & Social Science",5,12,0.205722,0.242198,0.017541,8
19-3011.00,Economists,19,"Life, Physical & Social Science",2,9,0.285444,0.334749,0.004309,13
19-3011.01,Environmental Economists,19,"Life, Physical & Social Science",2,11,0.193673,0.209924,0,1
19-3022.00,Survey Researchers,19,"Life, Physical & Social Science",2,10,0.273056,0.314643,0.005066,10
19-3032.00,Industrial-Organizational Psychologists,19,"Life, Physical & Social Science",2,10,0.27622,0.325939,0.00089,12
19-3033.00,Clinical and Counseling Psychologists,19,"Life, Physical & Social Science",12,8,0.351435,0.432692,0.022097,43
19-3034.00,School Psychologists,19,"Life, Physical & Social Science",12,8,0.350348,0.426401,0.020546,40
19-3039.02,Neuropsychologists,19,"Life, Physical & Social Science",8,9,0.324731,0.400117,0.019118,37
19-3039.03,Clinical Neuropsychologists,19,"Life, Physical & Social Science",8,9,0.343182,0.423746,0.015435,39
19-3041.00,Sociologists,19,"Life, Physical & Social Science",6,9,0.322191,0.4093,0.017106,49
19-3051.00,Urban and Regional Planners,19,"Life, Physical & Social Science",2,10,0.273551,0.318343,0.0022,11
19-3091.00,Anthropologists and Archeologists,19,"Life, Physical & Social Science",6,10,0.308373,0.37556,0.005568,26
19-3092.00,Geographers,19,"Life, Physical & Social Science",5,10,0.299207,0.363164,0.019901,24
19-3093.00,Historians,19,"Life, Physical & Social Science",6,10,0.248491,0.284149,0.000002,4
19-3094.00,Political Scientists,19,"Life, Physical & Social Science",6,9,0.316562,0.386394,0.007013,30
19-3099.01,Transportation Planners,19,"Life, Physical & Social Science",2,10,0.268047,0.312189,0.000585,12
19-4042.00,"Environmental Science and Protection Technicians, Including Health",19,"Life, Physical & Social Science",8,13,0.156261,0.165937,0,1
19-4061.00,Social Science Research Assistants,19,"Life, Physical & Social Science",5,11,0.22195,0.251751,0.003299,3
19-4092.00,Forensic Science Technicians,19,"Life, Physical & Social Science",8,12,0.185125,0.201803,0.003299,3
19-5012.00,Occupational Health and Safety Technicians,19,"Life, Physical & Social Science",5,10,0.237795,0.261224,0.004423,5
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21,Community & Social Service,12,9,0.361244,0.438494,0.035838,42
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21,Community & Social Service,12,8,0.350077,0.436032,0.027184,48
21-1013.00,Marriage and Family Therapists,21,Community & Social Service,12,9,0.313278,0.370839,0.001189,20
21-1014.00,Mental Health Counselors,21,Community & Social Service,12,9,0.308163,0.36131,0.001192,19
21-1015.00,Rehabilitation Counselors,21,Community & Social Service,12,9,0.311554,0.365688,0.001195,17
21-1021.00,"Child, Family, and School Social Workers",21,Community & Social Service,12,9,0.29666,0.34462,0.000334,13
21-1022.00,Healthcare Social Workers,21,Community & Social Service,12,9,0.309638,0.362966,0.001247,17
21-1023.00,Mental Health and Substance Abuse Social Workers,21,Community & Social Service,12,9,0.316562,0.381766,0.002438,26
21-1091.00,Health Education Specialists,21,Community & Social Service,6,10,0.285624,0.343356,0.001253,19
21-1092.00,Probation Officers and Correctional Treatment Specialists,21,Community & Social Service,12,9,0.294538,0.336688,0.001781,10
21-1093.00,Social and Human Service Assistants,21,Community & Social Service,12,8,0.335556,0.400823,0.025492,27
21-1094.00,Community Health Workers,21,Community & Social Service,12,8,0.337054,0.404959,0.034571,27
