Source,Target,Type,Id,Label,Weight
11-9041.00,17-2081.00,Undirected,60005,,0.9502
11-9041.00,25-4012.00,Undirected,60006,,0.9532
11-9041.00,29-1051.00,Undirected,60007,,0.9634
11-9041.01,19-1012.00,Undirected,60008,,0.9545
11-9051.00,35-1011.00,Undirected,60009,,0.9745
11-9051.00,35-1012.00,Undirected,60010,,0.9538
11-9071.00,11-9072.00,Undirected,60011,,0.9661
11-9071.00,11-9081.00,Undirected,60012,,0.9632
11-9071.00,11-9131.00,Undirected,60013,,0.9591
11-9071.00,11-9151.00,Undirected,60014,,0.9558
11-9071.00,11-9161.00,Undirected,60015,,0.9641
11-9071.00,11-9171.00,Undirected,60016,,0.9562
11-9071.00,11-9179.02,Undirected,60017,,0.9643
11-9071.00,11-9199.08,Undirected,60018,,0.9577
11-9071.00,11-9199.10,Undirected,60019,,0.9559
11-9071.00,39-1022.00,Undirected,60020,,0.9589
11-9071.00,41-1011.00,Undirected,60021,,0.9591
11-9071.00,41-1012.00,Undirected,60022,,0.9741
11-9071.00,43-1011.00,Undirected,60023,,0.9763
11-9071.00,53-1042.01,Undirected,60024,,0.9506
11-9072.00,11-9081.00,Undirected,60025,,0.9748
11-9072.00,11-9131.00,Undirected,60026,,0.958
11-9072.00,11-9161.00,Undirected,60027,,0.9644
11-9072.00,11-9171.00,Undirected,60028,,0.9643
11-9072.00,11-9179.01,Undirected,60029,,0.9658
11-9072.00,11-9179.02,Undirected,60030,,0.9618
11-9072.00,11-9199.08,Undirected,60031,,0.9519
11-9072.00,11-9199.10,Undirected,60032,,0.9565
11-9072.00,13-1121.00,Undirected,60033,,0.953
11-9072.00,21-1094.00,Undirected,60034,,0.9568
11-9072.00,21-2011.00,Undirected,60035,,0.9647
11-9072.00,21-2021.00,Undirected,60036,,0.9541
11-9072.00,25-9031.00,Undirected,60037,,0.9561
11-9072.00,27-2012.00,Undirected,60038,,0.9504
11-9072.00,33-1012.00,Undirected,60039,,0.9578
11-9072.00,39-1022.00,Undirected,60040,,0.957
11-9072.00,41-1011.00,Undirected,60041,,0.9572
11-9072.00,41-1012.00,Undirected,60042,,0.962
11-9072.00,43-1011.00,Undirected,60043,,0.9649
11-9081.00,11-9171.00,Undirected,60044,,0.9651
11-9081.00,11-9179.01,Undirected,60045,,0.9527
11-9081.00,11-9179.02,Undirected,60046,,0.9714
11-9081.00,11-9199.08,Undirected,60047,,0.9605
11-9081.00,21-1094.00,Undirected,60048,,0.9549
11-9081.00,33-1012.00,Undirected,60049,,0.9624
11-9081.00,35-3011.00,Undirected,60050,,0.9611
11-9081.00,39-1022.00,Undirected,60051,,0.9622
11-9081.00,41-1011.00,Undirected,60052,,0.9524
11-9081.00,41-1012.00,Undirected,60053,,0.9664
11-9081.00,43-1011.00,Undirected,60054,,0.9641
11-9081.00,53-1042.01,Undirected,60055,,0.9505
11-9111.00,11-9151.00,Undirected,60056,,0.9506
11-9111.00,11-9161.00,Undirected,60057,,0.9579
11-9111.00,13-1081.00,Undirected,60058,,0.969
11-9111.00,15-1299.09,Undirected,60059,,0.9532
11-9111.00,27-1011.00,Undirected,60060,,0.9532
11-9111.00,27-1022.00,Undirected,60061,,0.9536
11-9121.00,19-2041.00,Undirected,60062,,0.9543
11-9121.00,19-2041.02,Undirected,60063,,0.9513
11-9121.01,19-3039.03,Undirected,60064,,0.9539
11-9121.01,19-3091.00,Undirected,60065,,0.9565
11-9121.01,29-1051.00,Undirected,60066,,0.9598
11-9121.01,29-1141.02,Undirected,60067,,0.9559
11-9121.01,29-1217.00,Undirected,60068,,0.9553
11-9121.01,29-1299.01,Undirected,60069,,0.9518
11-9121.02,17-2051.02,Undirected,60070,,0.9528
11-9121.02,17-2081.00,Undirected,60071,,0.9595
11-9121.02,17-2111.00,Undirected,60072,,0.955
11-9121.02,19-1011.00,Undirected,60073,,0.9548
11-9121.02,19-2041.02,Undirected,60074,,0.951
11-9121.02,19-5012.00,Undirected,60075,,0.9556
11-9121.02,29-2036.00,Undirected,60076,,0.9524
11-9121.02,47-4011.00,Undirected,60077,,0.9615
11-9131.00,11-9179.02,Undirected,60078,,0.9503
11-9131.00,27-2012.00,Undirected,60079,,0.9538
11-9131.00,33-1011.00,Undirected,60080,,0.9564
11-9131.00,39-1022.00,Undirected,60081,,0.9603
11-9131.00,39-9041.00,Undirected,60082,,0.9554
11-9131.00,41-1011.00,Undirected,60083,,0.9563
11-9131.00,41-1012.00,Undirected,60084,,0.9577
11-9131.00,43-1011.00,Undirected,60085,,0.97
11-9141.00,11-9199.10,Undirected,60086,,0.9629
11-9141.00,43-3061.00,Undirected,60087,,0.9511
11-9151.00,11-9161.00,Undirected,60088,,0.9792
11-9151.00,11-9199.08,Undirected,60089,,0.9511
11-9151.00,25-9021.00,Undirected,60090,,0.9584
11-9161.00,11-9199.08,Undirected,60091,,0.9543
11-9161.00,13-1081.00,Undirected,60092,,0.9669
11-9161.00,13-1111.00,Undirected,60093,,0.9543
11-9161.00,13-1151.00,Undirected,60094,,0.9615
11-9161.00,21-2021.00,Undirected,60095,,0.9576
11-9161.00,25-2058.00,Undirected,60096,,0.9525
11-9161.00,25-9021.00,Undirected,60097,,0.9592
11-9161.00,25-9031.00,Undirected,60098,,0.9643
11-9161.00,27-1011.00,Undirected,60099,,0.9556
11-9161.00,27-1022.00,Undirected,60100,,0.951
11-9161.00,29-1125.00,Undirected,60101,,0.9522
11-9161.00,29-1141.04,Undirected,60102,,0.9518
11-9161.00,41-1011.00,Undirected,60103,,0.9576
11-9161.00,43-1011.00,Undirected,60104,,0.9527
11-9171.00,11-9179.02,Undirected,60105,,0.9574
11-9171.00,35-3011.00,Undirected,60106,,0.9618
11-9171.00,39-1022.00,Undirected,60107,,0.9551
11-9179.01,39-9032.00,Undirected,60108,,0.9555
11-9179.02,35-1012.00,Undirected,60109,,0.9516
11-9179.02,39-1022.00,Undirected,60110,,0.9565
11-9179.02,41-1011.00,Undirected,60111,,0.9506
11-9179.02,41-1012.00,Undirected,60112,,0.9579
11-9179.02,43-1011.00,Undirected,60113,,0.9505
11-9179.02,53-1042.01,Undirected,60114,,0.9648
11-9199.01,13-1041.07,Undirected,60115,,0.9764
11-9199.01,13-1111.00,Undirected,60116,,0.9708
11-9199.01,13-1141.00,Undirected,60117,,0.9633
11-9199.01,13-1161.00,Undirected,60118,,0.9625
11-9199.01,13-1199.05,Undirected,60119,,0.9602
11-9199.01,13-2053.00,Undirected,60120,,0.9504
11-9199.01,15-1299.03,Undirected,60121,,0.9504
11-9199.01,19-2041.01,Undirected,60122,,0.9723
11-9199.01,19-3032.00,Undirected,60123,,0.9572
11-9199.01,19-3051.00,Undirected,60124,,0.9689
11-9199.01,19-3092.00,Undirected,60125,,0.9519
11-9199.01,19-3099.01,Undirected,60126,,0.9643
11-9199.01,27-3031.00,Undirected,60127,,0.9509
11-9199.01,33-3021.06,Undirected,60128,,0.9533
11-9199.02,11-9199.08,Undirected,60129,,0.952
11-9199.02,13-1041.00,Undirected,60130,,0.9636
11-9199.02,13-1041.03,Undirected,60131,,0.9637
11-9199.02,13-1071.00,Undirected,60132,,0.9621
11-9199.02,13-1075.00,Undirected,60133,,0.9573
11-9199.02,13-1199.05,Undirected,60134,,0.9524
11-9199.02,19-3033.00,Undirected,60135,,0.9506
11-9199.02,19-3034.00,Undirected,60136,,0.9547
11-9199.02,21-1011.00,Undirected,60137,,0.977
11-9199.02,21-1012.00,Undirected,60138,,0.965
11-9199.02,21-1093.00,Undirected,60139,,0.9573
11-9199.02,21-1094.00,Undirected,60140,,0.9663
11-9199.02,23-1011.00,Undirected,60141,,0.9509
11-9199.02,25-2031.00,Undirected,60142,,0.9603
11-9199.02,25-2051.00,Undirected,60143,,0.9621
11-9199.02,25-2059.01,Undirected,60144,,0.9566
11-9199.02,25-9031.00,Undirected,60145,,0.9592
11-9199.02,27-2041.00,Undirected,60146,,0.9587
11-9199.02,27-2042.00,Undirected,60147,,0.9531
11-9199.02,27-3031.00,Undirected,60148,,0.9504
11-9199.02,33-1011.00,Undirected,60149,,0.9547
11-9199.02,43-4161.00,Undirected,60150,,0.9514
11-9199.02,43-9041.00,Undirected,60151,,0.9501
11-9199.08,13-1041.00,Undirected,60152,,0.9535
11-9199.08,21-1094.00,Undirected,60153,,0.9601
11-9199.08,27-2022.00,Undirected,60154,,0.9514
11-9199.08,33-1012.00,Undirected,60155,,0.9562
11-9199.08,33-9099.02,Undirected,60156,,0.9573
11-9199.08,39-1022.00,Undirected,60157,,0.9615
11-9199.08,43-1011.00,Undirected,60158,,0.9599
11-9199.08,53-1042.01,Undirected,60159,,0.9522
11-9199.10,13-1021.00,Undirected,60160,,0.9739
11-9199.10,15-1299.09,Undirected,60161,,0.9562
11-9199.10,25-4012.00,Undirected,60162,,0.9604
11-9199.10,27-2012.00,Undirected,60163,,0.9606
11-9199.10,41-1012.00,Undirected,60164,,0.9594
11-9199.11,17-1011.00,Undirected,60165,,0.9551
11-9199.11,17-2081.00,Undirected,60166,,0.9655
11-9199.11,19-2041.02,Undirected,60167,,0.9577
13-1011.00,13-1075.00,Undirected,60168,,0.9734
13-1011.00,23-1011.00,Undirected,60169,,0.9677
13-1011.00,23-1022.00,Undirected,60170,,0.9602
13-1011.00,27-2012.04,Undirected,60171,,0.9568
13-1011.00,27-3031.00,Undirected,60172,,0.9621
13-1011.00,29-2099.08,Undirected,60173,,0.9509
13-1011.00,41-4012.00,Undirected,60174,,0.9589
13-1021.00,13-1022.00,Undirected,60175,,0.9538
13-1022.00,13-1023.00,Undirected,60176,,0.9571
13-1031.00,13-1041.00,Undirected,60177,,0.9518
13-1031.00,13-1199.05,Undirected,60178,,0.9507
13-1031.00,13-2011.00,Undirected,60179,,0.9725
13-1031.00,13-2022.00,Undirected,60180,,0.969
13-1031.00,13-2023.00,Undirected,60181,,0.961
13-1031.00,13-2081.00,Undirected,60182,,0.9556
13-1031.00,41-9021.00,Undirected,60183,,0.9523
13-1031.00,43-4131.00,Undirected,60184,,0.9542
