Source,Target,Weight
11-9121.02,17-2111.00,0.955
11-9121.02,19-1011.00,0.9548
11-9121.02,19-2041.02,0.951
11-9121.02,19-5012.00,0.9556
11-9121.02,29-2036.00,0.9524
11-9121.02,47-4011.00,0.9615
11-9131.00,11-9179.02,0.9503
11-9131.00,27-2012.00,0.9538
11-9131.00,33-1011.00,0.9564
11-9131.00,39-1022.00,0.9603
11-9131.00,39-9041.00,0.9554
11-9131.00,41-1011.00,0.9563
11-9131.00,41-1012.00,0.9577
11-9131.00,43-1011.00,0.97
11-9141.00,11-9199.10,0.9629
11-9141.00,43-3061.00,0.9511
11-9151.00,11-9161.00,0.9792
11-9151.00,11-9199.08,0.9511
11-9151.00,25-9021.00,0.9584
11-9161.00,11-9199.08,0.9543
11-9161.00,13-1081.00,0.9669
11-9161.00,13-1111.00,0.9543
11-9161.00,13-1151.00,0.9615
11-9161.00,21-2021.00,0.9576
11-9161.00,25-2058.00,0.9525
11-9161.00,25-9021.00,0.9592
11-9161.00,25-9031.00,0.9643
11-9161.00,27-1011.00,0.9556
11-9161.00,27-1022.00,0.951
11-9161.00,29-1125.00,0.9522
11-9161.00,29-1141.04,0.9518
11-9161.00,41-1011.00,0.9576
11-9161.00,43-1011.00,0.9527
11-9171.00,11-9179.02,0.9574
11-9171.00,35-3011.00,0.9618
11-9171.00,39-1022.00,0.9551
11-9179.01,39-9032.00,0.9555
11-9179.02,35-1012.00,0.9516
11-9179.02,39-1022.00,0.9565
11-9179.02,41-1011.00,0.9506
11-9179.02,41-1012.00,0.9579
11-9179.02,43-1011.00,0.9505
11-9179.02,53-1042.01,0.9648
11-9199.01,13-1041.07,0.9764
11-9199.01,13-1111.00,0.9708
11-9199.01,13-1141.00,0.9633
11-9199.01,13-1161.00,0.9625
11-9199.01,13-1199.05,0.9602
11-9199.01,13-2053.00,0.9504
11-9199.01,15-1299.03,0.9504
11-9199.01,19-2041.01,0.9723
11-9199.01,19-3032.00,0.9572
11-9199.01,19-3051.00,0.9689
11-9199.01,19-3092.00,0.9519
11-9199.01,19-3099.01,0.9643
11-9199.01,27-3031.00,0.9509
11-9199.01,33-3021.06,0.9533
11-9199.02,11-9199.08,0.952
11-9199.02,13-1041.00,0.9636
11-9199.02,13-1041.03,0.9637
11-9199.02,13-1071.00,0.9621
11-9199.02,13-1075.00,0.9573
11-9199.02,13-1199.05,0.9524
11-9199.02,19-3033.00,0.9506
11-9199.02,19-3034.00,0.9547
11-9199.02,21-1011.00,0.977
11-9199.02,21-1012.00,0.965
11-9199.02,21-1093.00,0.9573
11-9199.02,21-1094.00,0.9663
11-9199.02,23-1011.00,0.9509
11-9199.02,25-2031.00,0.9603
11-9199.02,25-2051.00,0.9621
11-9199.02,25-2059.01,0.9566
11-9199.02,25-9031.00,0.9592
11-9199.02,27-2041.00,0.9587
11-9199.02,27-2042.00,0.9531
11-9199.02,27-3031.00,0.9504
11-9199.02,33-1011.00,0.9547
11-9199.02,43-4161.00,0.9514
11-9199.02,43-9041.00,0.9501
11-9199.08,13-1041.00,0.9535
